Token,Frequency
armands,1
snatched,24
happy,22
virtuous,5
unfortunate,19
ancestor,26
murder,14
eleven,25
existence,93
made,772
words,188
read,201
previously,43
held,243
value,34
dearer,1
delved,12
deeper,58
mysteries,45
world,615
modern,81
science,62
produced,54
impression,91
laboured,16
middle,60
wrapt,1
acquisition,5
daemonological,1
alchemical,5
learning,32
might,798
manner,98
unusually,15
rational,22
moments,58
would,1839
go,330
far,559
seek,56
explanation,36
attributing,6
heirs,12
careful,61
inquiry,14
known,437
alchemist,3
endeavour,4
find,316
spell,50
release,22
burden,22
thing,777
absolutely,46
resolved,81
wed,5
branches,30
alone,262
beneath,225
courtyard,25
wander,9
ponder,6
human,487
creature,88
utter,96
solitude,23
cease,19
protest,11
impending,7
doom,41
become,140
almost,579
reconciled,8
occupied,16
exploration,23
ruined,43
abandoned,52
fear,365
caused,96
shun,19
trodden,5
awesome,38
objects,109
encountered,72
furniture,40
covered,130
dust,98
rot,3
dampness,15
cobwebs,16
profusion,14
seen,564
spun,6
everywhere,24
bats,18
flapped,10
bony,19
uncanny,55
wings,72
otherwise,36
untenanted,3
gloom,19
exact,46
kept,206
record,110
movement,19
pendulum,4
massive,35
clock,108
doomed,21
length,139
approached,66
viewed,30
apprehension,20
seized,78
reached,246
every,419
moment,353
watch,83
coming,143
unknown,384
overtake,7
least,206
cowardly,1
passive,8
new,555
vigour,4
applied,20
examination,19
longest,7
excursions,3
discovery,82
portion,11
less,344
week,113
fatal,8
must,1012
mark,49
utmost,31
limit,16
stay,69
earth,526
slightest,10
hope,127
continuing,8
draw,35
breath,54
culminating,9
event,33
better,204
part,255
morning,256
climbing,37
half,584
staircases,7
dilapidated,9
afternoon,139
progressed,10
sought,128
lower,109
levels,24
descending,25
either,143
mediaeval,19
place,718
confinement,12
recently,15
excavated,6
storehouse,3
gunpowder,2
traversed,21
nitre,8
encrusted,9
passageway,9
staircase,42
paving,2
damp,56
soon,357
flickering,8
torch,108
blank,30
water,225
wall,224
impeded,6
journey,49
turning,51
retrace,4
steps,180
eye,100
fell,122
trap,52
ring,54
lay,296
directly,57
feet,328
pausing,17
succeeded,46
difficulty,47
raising,18
whereupon,4
revealed,77
aperture,65
exhaling,1
noxious,36
fumes,20
sputter,4
disclosing,5
unsteady,2
glare,31
top,117
flight,95
lowered,15
repellent,33
depths,72
burned,61
freely,42
steadily,33
commenced,58
descent,59
led,156
narrow,141
flagged,2
passage,117
underground,55
proved,91
terminated,4
oaken,9
dripping,25
moisture,9
stoutly,5
resisting,8
attempts,27
open,304
ceasing,8
efforts,34
direction,130
proceeded,36
distance,165
toward,478
experience,100
profound,51
maddening,32
shocks,3
capable,33
reception,4
warning,51
heard,572
heavy,157
creak,7
rusted,12
hinges,12
immediate,46
sensations,40
incapable,4
analysis,18
confronted,17
thoroughly,36
evidence,64
presence,120
spirit,82
brain,134
horror,405
acute,28
description,45
faced,65
seat,52
sound,319
started,125
orbits,2
sight,296
beheld,83
gothic,18
doorway,67
stood,207
figure,127
clad,23
skull,37
cap,18
colour,75
hair,102
flowing,4
beard,56
intense,27
hue,12
forehead,27
usual,89
dimensions,49
cheeks,13
sunken,31
heavily,33
lined,29
wrinkles,5
claw,34
like,1247
deathly,4
marble,72
whiteness,6
elsewhere,44
lean,54
proportions,24
skeleton,28
strangely,78
bent,49
lost,197
voluminous,9
folds,9
peculiar,146
garment,3
strangest,10
twin,9
caves,34
abysmal,20
blackness,102
expression,100
understanding,14
inhuman,23
degree,47
wickedness,2
fixed,49
piercing,14
soul,141
hatred,22
rooting,1
spot,124
whereon,11
rumbling,11
voice,249
chilled,19
hollowness,8
latent,24
malevolence,6
language,74
clothed,3
debased,7
latin,34
use,195
learned,157
familiar,128
prolonged,16
researches,26
works,18
daemonologists,2
apparition,4
hovered,23
wrong,53
perpetrated,5
gloated,5
revenge,12
escaped,49
returning,37
kill,63
heir,8
assassination,2
secretly,19
returned,125
established,18
subterranean,27
framed,6
narrator,2
forced,78
poison,31
throat,51
die,54
foul,15
provisions,16
vengeful,2
point,228
imagine,53
solution,36
greatest,70
mystery,96
fulfilled,5
course,352
digressed,2
wizards,11
speaking,37
particularly,18
concerning,62
grant,10
partook,3
enthusiasm,8
remove,11
fiendish,28
shocking,92
hissing,14
serpent,28
stranger,72
raised,64
glass,143
evident,28
intent,17
ending,19
six,99
hundred,82
ended,39
prompted,20
preserving,6
instinct,34
self,60
defence,15
broke,59
immovable,6
flung,39
dying,43
menaced,5
break,51
harmlessly,2
caught,91
fire,100
lit,32
horrid,3
scene,128
ghastly,63
radiance,31
shriek,33
fright,112
impotent,2
malice,2
emitted,9
already,76
shaken,40
nerves,63
prone,12
slimy,31
floor,332
total,35
faint,201
senses,70
frightfully,16
remembering,24
shrank,13
idea,100
beholding,8
curiosity,100
overmastered,2
asked,106
avenge,3
lifted,15
shoulders,17
felled,2
source,95
danger,33
free,100
desire,42
nightmare,126
determined,56
pockets,14
flint,4
steel,21
distorted,34
blackened,21
mysterious,52
closed,134
disliking,2
entered,129
laboratory,98
corner,93
immense,31
pile,33
shining,53
yellow,115
metal,126
sparkled,3
gorgeously,7
gold,121
pause,53
examine,19
affected,36
undergone,13
farther,106
apartment,30
opening,107
leading,112
wonder,166
realising,14
obtained,54
access,26
return,165
intended,10
pass,92
remains,49
averted,6
body,362
hear,160
emanating,1
wholly,245
extinct,17
aghast,3
charred,16
shrivelled,15
horrible,212
blacker,5
seared,11
set,287
opened,149
wide,131
unable,37
interpret,14
cracked,16
lips,52
tried,253
frame,30
understand,73
fancied,65
issued,7
twisted,57
mouth,78
still,744
loss,42
gather,22
purport,5
speech,112
ignorance,28
meaning,41
pitchy,3
flashed,44
malevolently,5
helpless,36
opponent,5
trembled,37
watched,94
wretch,2
animated,11
burst,81
strength,88
head,308
pavement,23
remained,109
paralysed,20
screamed,55
forth,105
nights,42
fool,24
shrieked,34
guess,107
secret,162
whereby,19
recognise,35
dreadful,25
solved,6
maintain,7
hello,1
bruce,18
dog,88
come,662
followed,165
room,549
gaunt,23
ungainly,2
sprawled,13
awkwardly,10
chair,102
indicated,42
twirled,1
hat,28
nervous,100
fingers,58
deepset,1
wore,48
worried,20
hunted,12
look,296
glanced,42
furtively,20
something,645
unexpectedly,6
pounce,2
haggard,12
colorless,4
corners,36
twitched,4
spasmodically,6
matter,245
ghost,34
brace,8
crossed,73
buffet,1
poured,38
wine,35
decanter,2
drink,33
downed,2
hasty,21
gulp,1
took,348
toying,1
thanks,10
prague,21
feel,138
quite,266
tonight,15
malcolm,5
shifted,14
uneasily,9
eyed,71
silence,110
wondering,27
possibly,55
affect,7
steady,34
iron,67
visibly,16
upset,13
unusual,58
cigars,2
selected,12
automatically,11
cigar,2
lighted,56
nervousness,9
apparently,111
gone,245
dominant,24
reliant,1
devilish,23
gruesome,29
befell,3
whether,169
dare,73
think,376
crazy,52
blame,11
true,125
word,91
paused,93
dramatically,3
blew,15
rings,13
smoke,62
air,280
smiled,28
weird,74
listened,61
table,141
kink,1
personality,40
inspired,17
confidence,23
stories,58
given,147
despite,211
love,54
bizarre,79
dangerous,37
longing,16
explore,30
reaches,24
lands,77
prosaic,18
flat,49
uneventful,3
business,102
happen,36
professor,67
van,62
allister,11
mean,66
arthur,51
youknowhim,1
say,358
resigned,13
chemistry,11
college,91
experiments,48
helped,53
choose,16
plans,35
proof,42
got,235
confounded,5
chummy,1
recall,104
used,195
dabble,2
bit,77
nodded,24
months,78
job,12
advertised,3
assistant,15
answered,53
remembered,97
managed,61
convince,11
enough,345
warrant,9
trial,18
lady,15
secretarial,2
work,278
miss,33
marjorie,9
purdy,10
strict,12
types,17
good,293
looking,187
efficient,2
helping,12
discovered,81
genuine,32
interest,108
puttering,1
making,108
indeed,396
nearly,156
spare,29
us,424
result,53
close,275
friendship,17
depend,10
help,176
difficult,39
seem,145
stump,2
girl,24
duck,3
takes,16
partitioned,1
separate,39
workroom,21
enter,41
series,69
successful,13
bring,89
everlasting,2
fame,22
flatly,1
refused,39
make,353
confidants,2
way,584
shape,115
retire,5
seclusion,13
workshop,10
sometimes,251
appearing,9
meals,6
meant,90
ripened,2
growing,90
admiration,13
trim,13
woman,92
perfectly,29
content,26
fuss,1
smelly,1
bottles,28
sticky,18
messes,1
gowned,3
white,273
rubber,4
gloves,2
yesterday,20
invited,11
achieved,13
success,43
announced,12
holding,46
inspection,14
bottle,47
containing,32
chemical,33
going,147
prove,54
efficacy,2
right,288
rabbits,8
please,12
went,343
brought,323
guinea,12
pigs,9
experimental,13
purposes,19
put,175
animal,87
box,101
large,225
cover,48
funnel,7
hole,51
nearer,59
experiment,29
uncorked,1
poised,13
rabbit,6
prison,23
weeks,57
effort,54
resulted,5
failure,28
methodically,1
emptied,12
trickle,14
compartment,9
frightened,101
uttered,33
suppressed,15
cry,71
rubbed,5
sure,155
deceived,7
case,227
live,111
terrified,22
nothing,483
soft,67
ashes,36
supreme,37
satisfaction,12
radiated,8
ghoulish,44
glee,5
alight,6
insane,59
gleam,14
tone,36
mastery,6
privilege,6
witness,16
preparation,11
revolutionize,1
instantaneously,4
reduce,5
fine,50
ash,7
anything,245
comes,60
contact,22
except,117
means,103
army,48
equipped,9
bombs,1
compound,9
annihilate,4
brick,75
everything,161
swept,45
leaving,97
experimented,5
apron,1
transferred,17
bunny,1
neatly,16
labeled,2
admit,41
suffering,11
mental,106
chill,41
tightly,43
doors,63
safely,25
outside,318
completely,60
reeled,22
arms,67
yielding,9
straw,13
cast,94
prudence,2
winds,44
crushed,28
breast,8
kiss,5
pressed,24
full,234
red,166
lovelight,1
reflected,73
delicious,6
eternity,14
realize,4
ardent,4
demonstrations,2
retreat,25
discover,18
present,162
state,176
dared,104
rest,204
dream,245
accomplishing,2
merely,158
